"ExhibitionID","ExhibitionNumber","ExhibitionTitle","ExhibitionCitationDate","ExhibitionBeginDate","ExhibitionEndDate","ExhibitionSortOrder","ExhibitionURL","ExhibitionRole","ExhibitionRoleinPressRelease","ConstituentID","ConstituentType","DisplayName","AlphaSort","FirstName","MiddleName","LastName","Suffix","Institution","Nationality","ConstituentBeginDate","ConstituentEndDate","ArtistBio","Gender","VIAFID","WikidataID","ULANID","ConstituentURL","Year","Count"
2917,"102","New Acquisitions: A Gift of Modern Sculpture","[MoMA Exh. #102, March 6-April 7, 1940]",1940-03-06,"4/7/1940",148,"moma.org/calendar/exhibitions/2918","Artist","Artist",708,"Individual","Émile-Antoine Bourdelle","Bourdelle Émile-Antoine","Émile-Antoine","","Bourdelle","","","French",1861,1929,"French, born Rumania. 1861–1929","Male",64002371,"Q314350",500028923,"moma.org/artists/708",1940,15
3077,"103","The Work of Sharaku","[MoMA Exh. #103, April 3-May 1, 1940]",1940-04-03,"5/1/1940",149,"moma.org/calendar/exhibitions/2982","Curator","Assembler",NA,"Individual","Louis V. Ledoux","Ledoux Louis V.","Louis","V.","Ledoux","","","",NA,NA,"","",67830746,"",NA,"",1940,3
3078,"104","American Designs for Abstract Film","[MoMA Exh. #104, April 3-May 1, 1940]",1940-04-03,"5/1/1940",150,"moma.org/calendar/exhibitions/2983","Curator","Assembler",45945,"Individual","Iris Barry","Barry Iris","Iris","","Barry","","Museum of Modern Art","American",1895,1969,"American, born England, 1995–1969","Female",54242106,"Q11282460",NA,"moma.org/artists/45945",1940,7
3079,"105","PM Competition: The Artist as Reporter","[MoMA Exh. #105, April 15-May 7, 1940]",1940-04-15,"5/7/1940",151,"moma.org/calendar/exhibitions/2984","Competition Judge","Competition Judge",11499,"Individual","Holger Cahill","Cahill Holger","Holger","","Cahill","","","",NA,NA,"","",45764398,"Q5880218",500121994,"moma.org/artists/11499",1940,177
3080,"106","Twenty Centuries of Mexican Art","[MoMA Exh. #106, May 15-September 30, 1940]",1940-05-15,"9/30/1940",152,"moma.org/calendar/exhibitions/2985","Curator","Director",1279,"Individual","Miguel Covarrubias","Covarrubias Miguel","Miguel","","Covarrubias","","","Mexican",1904,1957,"Mexican, 1904–1957","Male",9977968,"Q1709505",500122721,"moma.org/artists/1279",1940,59
3081,"107","New Acquisitions: American Painting and Sculpture","[MoMA Exh. #107, July 26-October 18, 1940]",1940-07-26,"10/18/1940",153,"moma.org/calendar/exhibitions/2986","Artist","Artist",761,"Individual","Raymond Breinin","Breinin Raymond","Raymond","","Breinin","","","American",1910,2000,"American, 1910–2000","Male",95722748,"Q19595180",500006860,"moma.org/artists/761",1940,14
3082,"108","Portinari of Brazil","[MoMA Exh. #108, October 9-November 17, 1940]",1940-10-09,"11/17/1940",154,"moma.org/calendar/exhibitions/2987","Artist","Artist",4705,"Individual","Cândido Portinari","Portinari Cândido","Cândido","","Portinari","","","Brazilian",1903,1962,"Brazilian, 1903–1962","Male",5737825,"Q319532",500022426,"moma.org/artists/4705",1940,1
3083,"109","Machine Art; Modern Interiors; Original Costume Design","[MoMA Exh. #109, October 3-November 2, 1940]",1940-10-03,"11/2/1940",155,"moma.org/calendar/exhibitions/2988","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1940,1
2629,"110","Painting and Sculpture from the Museum Collection","[MoMA Exh. #110, October 23, 1940-January 12, 1941]",1940-10-23,"1/12/1941",156,"moma.org/calendar/exhibitions/2813","Artist","Artist",11,"Individual","Jean (Hans) Arp","Arp Jean (Hans)","Jean","","Arp","","","French",1886,1966,"French, born Germany (Alsace). 1886–1966","Male",7386175,"Q153739",500031000,"moma.org/artists/11",1940,80
3084,"111","Forty Years of the American Dance","[MoMA Exh. #111, October 23-November 19, 1940]",1940-10-23,"11/19/1940",157,"moma.org/calendar/exhibitions/2989","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1940,1
3085,"112","Graphic Arts: Designing a Stage Setting","[MoMA Exh. #November 4-November 11, 1940]",1940-11-04,"11/11/1940",158,"moma.org/calendar/exhibitions/2990","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1940,1
3086,"113","Student Work from Fourteen High Schools","[MoMA Exh. #113, November 11-December 23, 1940]",1940-11-11,"12/23/1940",159,"moma.org/calendar/exhibitions/2991","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1940,1
3087,"114","Frank Lloyd Wright, American Architect","[MoMA Exh. #114, November 13, 1940-January 5, 1941]",1940-11-13,"1/5/1941",160,"moma.org/calendar/exhibitions/2992","Installer","Installer",6459,"Individual","Frank Lloyd Wright","Wright Frank Lloyd","Frank","Lloyd","Wright","","","American",1867,1959,"American, 1867–1959","Male",27148716,"Q5604",500020307,"moma.org/artists/6459",1940,2
3088,"115","D.W. Griffith, American Film Master","[MoMA Exh. #115, November 13, 1940-January 5, 1941]",1940-11-13,"1/5/1941",161,"moma.org/calendar/exhibitions/2993","Curator","Assembler",45945,"Individual","Iris Barry","Barry Iris","Iris","","Barry","","Museum of Modern Art","American",1895,1969,"American, born England, 1995–1969","Female",54242106,"Q11282460",NA,"moma.org/artists/45945",1940,3
3089,"116","The Ballet Today","[MoMA Exh. #116, November 14, 1940-March 5. 1941]",1940-11-14,"3/5/1941",162,"moma.org/calendar/exhibitions/2994","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1940,1
2528,"117","Useful Objects of American Design under $10","[MoMA Exh. #117, November 26-December 24, 1940]",1940-11-26,"12/24/1940",163,"moma.org/calendar/exhibitions/2789","Curator","[Curator]",9510,"Individual","Eliot Noyes","Noyes Eliot","Eliot","","Noyes","","","American",1910,1977,"American, 1910–1977","",35560716,"Q827228",500032860,"moma.org/artists/9510",1940,72
3090,"118","American Color Prints under $10","[MoMA Exh. #118, November 26-December 28, 1940]",1940-11-26,"12/28/1940",164,"moma.org/calendar/exhibitions/2995","Artist","Artist",45851,"Individual","Bernice Berkman","Berkman Bernice","Bernice","","Berkman","","","",NA,NA,"","",308272585,"",NA,"moma.org/artists/45851",1940,35
3091,"119","War Comes to the People: A Story Written With The Lens","[MoMA Exh. #119, December 10, 1940-January 5, 1941]",1940-12-10,"1/5/1941",165,"moma.org/calendar/exhibitions/2996","Artist","Artist",48827,"Individual","Thérèse Bonney","Bonney Therese","Thérèse","","Bonney","","","",1894,NA,"","",56683713,"Q7799893",500072382,"moma.org/artists/48827",1940,1
2668,"120","We Like Modern Art","[MoMA Exh. #120, December 27, 1940-January 12, 1941]",1940-12-27,"1/12/1941",166,"moma.org/calendar/exhibitions/2830","Artist","Artist",209,"Individual","Aleksandr Archipenko","Archipenko Aleksandr","Aleksandr","","Archipenko","","","American",1887,1964,"American, 1887–1964","Male",71544609,"Q157578",500022523,"moma.org/artists/209",1940,32
3092,"121","Sixty Photographs: A Survey of Camera Esthetics","[MoMA Exh. #121, December 31, 1940-Jan 12, 1941]",1940-12-31,"1/12/1941",167,"moma.org/calendar/exhibitions/2089","Curator","[Curator]",60,"Individual","Ansel Adams","Adams Ansel","Ansel","","Adams","","","American",1902,1984,"American, 1902–1984","Male",61625857,"Q60809",500026108,"moma.org/artists/60",1940,32
3093,"122","Pavlova Memorial Exhibition","[MoMA Exh. #122, January 7-March 6, 1941]",1941-01-07,"3/6/1941",168,"moma.org/calendar/exhibitions/2997","Artist","Artist",2119,"Individual","Arnold Genthe","Genthe Arnold","Arnold","","Genthe","","","American",1869,1942,"American, born Germany. 1869–1942","Male",64161805,"Q216070",500023229,"moma.org/artists/2119",1941,6
3094,"123","Indian Art of the United States","[MoMA Exh. #123, January 22-April 27, 1941]",1941-01-22,"4/27/1941",169,"moma.org/calendar/exhibitions/2998","Installer","Installer",10779,"Individual","René d'Harnoncourt","d'Harnoncourt René","René","","d'Harnoncourt","","","American",1901,1968,"American, 1901–1968","Male",176768,"Q7312958",500071210,"moma.org/artists/10779",1941,4
3095,"123a","American Scene: 35 Gouaches by Witold Gordon","[MoMA Exh. #123a, January 31-February 14, 1941]",1941-01-31,"2/14/1941",170,"moma.org/calendar/exhibitions/2999","Artist","Artist",64258,"Individual","Witold Gordon","Gordon Witold","Witold","","Gordon","","","",1885,NA,"born 1885","",NA,"",NA,"moma.org/artists/64258",1941,1
3096,"124","New Acquisitions: American Painting and Sculpture","[MoMA Exh. #March 10-May 3, 1941]",1941-03-10,"5/3/1941",171,"moma.org/calendar/exhibitions/3000","Artist","Artist",244,"Individual","Darrel Austin","Austin Darrel","Darrel","","Austin","","","American",1907,1994,"American, 1907–1994","Male",62964095,"",500022756,"moma.org/artists/244",1941,22
3097,"125","T.V.A. Architecture and Design","[MoMA Exh. #125, April 30-June 7, 1941]",1941-04-30,"6/7/1941",172,"moma.org/calendar/exhibitions/2087","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1941,1
2727,"126","New Acquisitions: A Gift of Paintings from a Trustee","[MoMA Exh. #126, May 6-October 15, 1941]",1941-05-06,"10/15/1941",173,"moma.org/calendar/exhibitions/1915","Artist","Artist",665,"Individual","Pierre Bonnard","Bonnard Pierre","Pierre","","Bonnard","","","French",1867,1947,"French, 1867–1947","Male",66499977,"Q26408",500115555,"moma.org/artists/665",1941,15
2752,"127","Painting and Sculpture from the Museum Collection","[MoMA Exh. #127, May 6-April 30, 1941]",1941-05-06,"4/30/1941",174,"moma.org/calendar/exhibitions/2867","Artist","Artist",11,"Individual","Jean (Hans) Arp","Arp Jean (Hans)","Jean","","Arp","","","French",1886,1966,"French, born Germany (Alsace). 1886–1966","Male",7386175,"Q153739",500031000,"moma.org/artists/11",1941,74
2886,"128","Understanding Modern Art","[MoMA Exh. #128, May 6-June 30, 1941]",1941-05-06,"6/30/1941",175,"moma.org/calendar/exhibitions/2912","Artist","Artist",11,"Individual","Jean (Hans) Arp","Arp Jean (Hans)","Jean","","Arp","","","French",1886,1966,"French, born Germany (Alsace). 1886–1966","Male",7386175,"Q153739",500031000,"moma.org/artists/11",1941,9
3098,"129","Still Photographs from Hollywood Studios","[MoMA Exh. #129, May 6-June 2, 1941]",1941-05-06,"6/2/1941",176,"moma.org/calendar/exhibitions/3001","Curator","[Curator]",45945,"Individual","Iris Barry","Barry Iris","Iris","","Barry","","Museum of Modern Art","American",1895,1969,"American, born England, 1995–1969","Female",54242106,"Q11282460",NA,"moma.org/artists/45945",1941,1
3099,"130","Britain at War","[MoMA Exh. #130, May 22-September 2, 1941]",1941-05-23,"9/2/1941",177,"moma.org/calendar/exhibitions/3002","Curator","Director",9634,"Individual","Monroe Wheeler","Wheeler Monroe","Monroe","","Wheeler","","","American",1899,1988,"American, 1899–1988","Male",40395988,"",NA,"moma.org/artists/9634",1941,42
2940,"131","New Acquisitions: European Paintings","[MoMA Exh. #131, June 3-July 18, 1941]",1941-06-03,"7/18/1941",178,"moma.org/calendar/exhibitions/2924","Artist","Artist",596,"Individual","Arbit Blatas","Blatas Arbit","Arbit","","Blatas","","","American",1908,1999,"American, born Lithuania. 1908–1999","Male",79081897,"Q2859653",500043256,"moma.org/artists/596",1941,9
2884,"132","Sculpture and Sculptor's Drawings","[MoMA Exh. #132, June 3-July 18, 1941]",1941-06-03,"7/18/1941",179,"moma.org/calendar/exhibitions/2910","Artist","Artist",1511,"Individual","Charles Despiau","Despiau Charles","Charles","","Despiau","","","French",1874,1946,"French, 1874–1946","Male",4938656,"Q82291",500115511,"moma.org/artists/1511",1941,7
3100,"133","A History of American Movies","[MoMA Exh. #133, June 5-October 3, 1941]",1941-06-05,"10/3/1941",180,"moma.org/calendar/exhibitions/3003","Curator","[Curator]",45945,"Individual","Iris Barry","Barry Iris","Iris","","Barry","","Museum of Modern Art","American",1895,1969,"American, born England, 1995–1969","Female",54242106,"Q11282460",NA,"moma.org/artists/45945",1941,1
307,"134","A History of the Modern Poster","[MoMA Exh. #134, June 11-June 26, 1941]",1941-06-11,"6/26/1941",181,"moma.org/calendar/exhibitions/2760","Artist","Artist",399,"Individual","Herbert Bayer","Bayer Herbert","Herbert","","Bayer","","","American",1900,1985,"American, born Austria. 1900–1985","Male",39524327,"Q213637",500009369,"moma.org/artists/399",1941,28
2637,"135","Paul Klee","[MoMA Exh. #135, June 30-July 27, 1941]",1941-06-30,"7/27/1941",182,"moma.org/calendar/exhibitions/2816","Artist","Artist",3130,"Individual","Paul Klee","Klee Paul","Paul","","Klee","","","German",1879,1940,"German, born Switzerland. 1879–1940","Male",68931085,"Q44007",500010493,"moma.org/artists/3130",1941,1
3101,"136","Animals in Art; Designing a Stage Setting","[MoMA Exh. #136, July 1-July 15, 1941]",1941-07-01,"7/15/1941",183,"moma.org/calendar/exhibitions/3004","Artist","Artist",273,"Individual","Peggy Bacon","Bacon Peggy","Peggy","","Bacon","","","American",1895,1987,"American, 1895–1987","Female",8456354,"Q7160630",500024574,"moma.org/artists/273",1941,28
3102,"137","Abstract Painting; Shapes of Things","[MoMA Exh. #137, July 15-July 28, 1941]",1941-07-15,"7/28/1941",184,"moma.org/calendar/exhibitions/3005","Artist","Artist",744,"Individual","Georges Braque","Braque Georges","Georges","","Braque","","","French",1882,1963,"French, 1882–1963","Male",9867924,"Q153793",500025200,"moma.org/artists/744",1941,12
2712,"138","Masterpieces of Picasso","[MoMA Exh. #138, July 16-September 7, 1941]",1941-07-16,"9/7/1941",185,"moma.org/calendar/exhibitions/2848","Artist","Artist",4609,"Individual","Pablo Picasso","Picasso Pablo","Pablo","","Picasso","","","Spanish",1881,1973,"Spanish, 1881–1973","Male",15873,"Q5593",500009666,"moma.org/artists/4609",1941,1
3103,"139","National Defense Poster Competition","[MoMA Exh. #139, July 16-September 7, 1941]",1941-07-16,"9/7/1941",186,"moma.org/calendar/exhibitions/3006","Artist","Artist",230,"Individual","John Atherton","Atherton John","John","","Atherton","","","American",1900,1952,"American, 1900–1952","Male",28507780,"Q20200670",500011141,"moma.org/artists/230",1941,28
2655,"140","New Acquisitions: Fantastic Art, Dada, Surrealism","[MoMA Exh. #140, July 23-September 29, 1941]",1941-07-23,"9/29/1941",187,"moma.org/calendar/exhibitions/2827","Artist","Artist",11,"Individual","Jean (Hans) Arp","Arp Jean (Hans)","Jean","","Arp","","","French",1886,1966,"French, born Germany (Alsace). 1886–1966","Male",7386175,"Q153739",500031000,"moma.org/artists/11",1941,18
3104,"141","Preliminary Course of the Bauhaus","[MoMA Exh. #141, July 29-August 11, 1941]",1941-07-29,"8/11/1941",188,"moma.org/calendar/exhibitions/3007","Artist","Artist",97,"Individual","Josef Albers","Albers Josef","Josef","","Albers","","","American",1888,1976,"American, born Germany. 1888–1976","Male",12347231,"Q170071",500033049,"moma.org/artists/97",1941,5
3105,"141a","Techniques of Painting","[MoMA Exh. #141a, August 4-October 15, 1941]",1941-08-04,"10/15/1941",189,"moma.org/calendar/exhibitions/3008","Arranger","Arranger",1074,"Individual","Jean Charlot","Charlot Jean","Jean","","Charlot","","","American",1898,1979,"American, 1898–1979","Male",109001357,"Q432546",500027773,"moma.org/artists/1074",1941,17
3106,"142","Stockholm Builds","[MoMA Exh. #142, August 4-September 8, 1941]",1941-08-04,"9/8/1941",190,"moma.org/calendar/exhibitions/3009","Curator","Assembler",44297,"Individual","Elizabeth Mock","Mock Elizabeth","Elizabeth","","Mock","","Museum of Modern Art","American",1911,1998,"American, 1911–1998","Female",112800368,"",NA,"moma.org/artists/44297",1941,2
3107,"143","American Watercolors; Lettering and Arrangements in Poster Design","[MoMA Exh. #143, August 12-August 25, 1941]",1941-08-12,"8/25/1941",191,"moma.org/calendar/exhibitions/3010","Artist","Artist",314,"Individual","Theo H. Ballmer","Ballmer Theo H.","Theo","H.","Ballmer","","","Swiss",1902,1965,"Swiss, 1902–1965","Male",70110672,"Q2416828",500060722,"moma.org/artists/314",1941,13
3108,"144","Ancestral Sources of Modern Painting","[MoMA Exh. #144, August 26-September 15, 1941]",1941-08-26,"9/15/1941",192,"moma.org/calendar/exhibitions/3011","Artist","Artist",63940,"Individual","Hieronymus Bosch","Bosch Hieronymus","Hieronymus","","Bosch","","","Netherlandish",1440,1516,"Netherlandish, 1440–1516","Male",76401424,"Q130531",500000759,"moma.org/artists/63940",1941,26
3109,"145","Photographs by David Octavius Hill and Robert Adamson","[MoMA Exh. #145, September 9-October 19, 1941]",1941-09-09,"10/19/1941",193,"moma.org/calendar/exhibitions/3012","Curator","Assembler",4283,"Individual","Beaumont Newhall","Newhall Beaumont","Beaumont","","Newhall","","","American",1908,1993,"American, 1908–1993","Male",36929927,"Q144164",500037130,"moma.org/artists/4283",1941,3
3110,"146","The Wooden House in America","[MoMA Exh. #146, September 9-September 30, 1941]",1941-09-09,"9/30/1941",194,"moma.org/calendar/exhibitions/3013","Artist","Artist",88,"Individual","Gregory Ain","Ain Gregory","Gregory","","Ain","","","American",1908,1988,"American, 1908–1988","Male",91899526,"Q5606793",500008108,"moma.org/artists/88",1941,10
3111,"147","Twenty Lithographs: Graphic Art Processes","[MoMA Exh. #147, September 16-October 14, 1941]",1941-09-16,"10/14/1941",195,"moma.org/calendar/exhibitions/3014","Artist","Artist",273,"Individual","Peggy Bacon","Bacon Peggy","Peggy","","Bacon","","","American",1895,1987,"American, 1895–1987","Female",8456354,"Q7160630",500024574,"moma.org/artists/273",1941,36
272,"148","Organic Design in Home Furnishings","[MoMA Exh. #148, September 24-November 9, 1941]",1941-09-24,"11/9/1941",196,"moma.org/calendar/exhibitions/1803","Curator","[Curator]",5676,"Individual","Edward Durell Stone","Stone Edward Durell","Edward","Durell","Stone","","","American",1902,1978,"American, 1902–1978","Male",92666920,"Q3048508",500012382,"moma.org/artists/5676",1941,6
2612,"149","New Acquisition: Vincent van Gogh, The Starry Night","[MoMA Exh. #149, September 30, 1941-July 28, 1943]",1941-09-30,"7/28/1943",197,"moma.org/calendar/exhibitions/2803","Artist","Artist",2206,"Individual","Vincent van Gogh","Gogh Vincent van","Vincent","","van Gogh","","","Dutch",1853,1890,"Dutch, 1853–1890","Male",9854560,"Q5582",500115588,"moma.org/artists/2206",1941,2
2672,"150","George Grosz","[MoMA Exh. #150, October 8-November 2, 1941]",1941-10-08,"11/2/1941",198,"moma.org/calendar/exhibitions/2831","Curator","Assembler",NA,"Individual","Lenore Browning","Browning Lenore","Lenore","","Browning","","","",NA,NA,"","",313278939,"",NA,"",1941,3
3112,"151","Buckminster Fuller's Dymaxion Deployment Unit","[MoMA Exh. #151, October 10, 1941-April 1, 1942]",1941-10-10,"4/1/1942",199,"moma.org/calendar/exhibitions/3015","Artist","Artist",2030,"Individual","R. Buckminster Fuller","Fuller R. Buckminster","R.","Buckminster","Fuller","","","American",1895,1983,"American, 1895–1983","Male",36898370,"Q102289",500015697,"moma.org/artists/2030",1941,1
3113,"152","What is Modern Architecture: Tricks in Movie Making","[MoMA Exh. #152, October 14-October 27, 1941]",1941-10-14,"10/27/1941",200,"moma.org/calendar/exhibitions/3016","","",NA,"","","","","","","","","",NA,NA,"","",NA,"",NA,"",1941,1
2597,"153","Modern Primitives: Artists of the People","[MoMA Exh. #153, October 21, 1941-April 30, 1944]",1941-10-21,"4/30/1944",201,"moma.org/calendar/exhibitions/1703","Artist","Artist",7944,"Individual","Patrocino Barela","Barela Patrocino","Patrocino","","Barela","","","American",1908,1964,"American, 1908–1964","Male",NA,"",NA,"moma.org/artists/7944",1941,19
3114,"154","Isadora Duncan: Drawings, Photographs, Memorabilia","[MoMA Exh. #154, October 21, 1941-January 10, 1942]",1941-10-21,"1/10/1942",202,"moma.org/calendar/exhibitions/3017","Arranger","Arranger",15986,"Individual","Paul Magriel","Magriel Paul","Magriel","","Paul","","","",NA,NA,"","",50257904,"",NA,"moma.org/artists/15986",1941,12
3115,"155","Image of Freedom","[MoMA Exh. #155, October 29, 1941-February 1, 1942]",1941-10-29,"2/1/1942",203,"moma.org/calendar/exhibitions/3018","Competition Judge","Competition Judge",60,"Individual","Ansel Adams","Adams Ansel","Ansel","","Adams","","","American",1902,1984,"American, 1902–1984","Male",61625857,"Q60809",500026108,"moma.org/artists/60",1941,72
3116,"156","Children of England Paint","[MoMA Exh. #156, November 6-November 30, 1941]",1941-11-06,"11/30/1941",204,"moma.org/calendar/exhibitions/3019","Curator","Director",NA,"Individual","Alfred A. Longden","Longden Alfred A.","Alfred","A.","Longden","","","",NA,NA,"","",95822065,"",NA,"",1941,1
2897,"157","Joan Miró","[MoMA Exh. #157, November 19, 1941-January 11, 1942]",1941-11-19,"1/11/1942",205,"moma.org/calendar/exhibitions/2915","Curator","Director",14845,"Individual","James Johnson Sweeney","Sweeney James Johnson","James","Johnson","Sweeney","","","American",1900,1986,"American, 1900–1986","Male",37043718,"Q6136905",500258108,"moma.org/artists/14845",1941,2
3117,"158","Salvador Dalí","[MoMA Exh. #158, November 19, 1941-January 11, 1942]",1941-11-19,"1/11/1942",206,"moma.org/calendar/exhibitions/2085","Curator","Director",8150,"Individual","James Thrall Soby","Soby James Thrall","James","","Soby","","","American",1906,1979,"American, 1906–1979","Male",110085602,"Q19997542",500326188,"moma.org/artists/8150",1941,2
3118,"159","Architecture of Eric Mendelsohn, 1914–1940","[MoMA Exh. #159, November 26, 1941-January 4, 1942]",1941-11-26,"1/4/1942",207,"moma.org/calendar/exhibitions/2092","Curator","[Curator]",9510,"Individual","Eliot Noyes","Noyes Eliot","Eliot","","Noyes","","","American",1910,1977,"American, 1910–1977","",35560716,"Q827228",500032860,"moma.org/artists/9510",1941,3
2529,"160","Useful Objects Under $10","[MoMA Exh. #160, December 2, 1941-January 4, 1942]",1941-12-02,"1/4/1942",208,"moma.org/calendar/exhibitions/2790","Artist","Artist",34,"Individual","Alvar Aalto","Aalto Alvar","Alvar","","Aalto","","","Finnish",1898,1976,"Finnish, 1898–1976","Male",71410602,"Q82840",500002617,"moma.org/artists/34",1941,131
3119,"161","Silk Screen Prints Under $10","[MoMA Exh. #161, December 2, 1941-January 4, 1942]",1941-12-02,"1/4/1942",209,"moma.org/calendar/exhibitions/3020","Artist","Artist",45483,"Individual","Charles Barrows","Barrows Charles","Charles","","Barrows","","","American",1903,1989,"American, 1903–1989","",NA,"",NA,"moma.org/artists/45483",1941,12
3120,"162","American Photographs at $10","[MoMA Exh. #162, December 2, 1941-January 4, 1942]",1941-12-03,"1/4/1942",210,"moma.org/calendar/exhibitions/3021","Artist","Artist",41,"Individual","Berenice Abbott","Abbott Berenice","Berenice","","Abbott","","","American",1898,1991,"American, 1898–1991","Female",44309674,"Q231861",500020631,"moma.org/artists/41",1941,9
3121,"163","Introduction to Modern Painting: Modern Posters","[MoMA Exh. #163, December 3-December 7, 1941]",1941-12-03,"12/7/1941",211,"moma.org/calendar/exhibitions/3022","Artist","Artist",409,"Individual","Lester Beall","Beall Lester","Lester","","Beall","","","American",1903,1969,"American, 1903–1969","Male",72203507,"Q6531814",500330273,"moma.org/artists/409",1941,7
3122,"163a","Sculpture by Maillol, to Celebrate his 80th Birthday","[MoMA Exh. #163a, December 8, 1941-unknown closing date]",1941-12-08,"",212,"moma.org/calendar/exhibitions/3023","Artist","Artist",3697,"Individual","Aristide Maillol","Maillol Aristide","Aristide","","Maillol","","","French",1861,1944,"French, 1861–1944","Male",14228,"Q153920",500001596,"moma.org/artists/3697",1941,1
3123,"164","Pictures for Children","[MoMA Exh. #164, December 10, 1941-Jan 25, 1942]",1941-12-10,"1/25/1942",213,"moma.org/calendar/exhibitions/3024","Competition Judge","Competition Judge",9168,"Individual","Alfred H. Barr, Jr.","Barr Alfred H. Jr.","Alfred","H.","Barr","Jr.","","American",1902,1981,"American, 1902–1981","Male",109252853,"Q711362",500241556,"moma.org/artists/9168",1941,23
